135908617.txt,"Spiritualist - No.1, November 19th 1869 - P.20"
135908618.txt,"Spiritualist - No.2, December 3rd 1869 - P.20"
135908619.txt,"Spiritualist - No.3, December 17th 1869 - P.20"
135908620.txt,"Spiritualist - No.4, December 31st 1869 - P.20"
135908621.txt,"Spiritualist - No.5, January 14th 1870 - P.20"
135908622.txt,"Spiritualist - No.6, February 15th 1870 - P.20"
135908623.txt,"Spiritualist - No.7, March 15th 1870 - P.20"
135908624.txt,"Spiritualist - No.8, April 15 1870 - P.20"
135908625.txt,"Spiritualist - No.9, May 15th 1870 - P.20"
135908626.txt,"Spiritualist - No.10, June 15th 1870 - P.20"
135908627.txt,"Spiritualist - No.11, July 15th 1870 - P.20"
135908628.txt,"Spiritualist - No.12, August 15th 1870 - P.20"
135908629.txt,"Spiritualist - No.13, September 15th 1870 - P.20"
135908630.txt,"Spiritualist - No.14, October 15th 1870 - P.20"
137340974.txt,"Spiritualist - No.15, November 15th 1870 - P.20"
135908631.txt,"Spiritualist - No.16, December 15th 1870 - P.20"
135908632.txt,"Spiritualist - No.17, January 15th 1871 - P.20"
135908633.txt,"Spiritualist - No.18, February 15th 1871 - P.20"
135908634.txt,"Spiritualist - No.19, March 15th 1871 - P.20"
135908635.txt,"Spiritualist - No.20, April 15th 1871 - P.20"
135908636.txt,"Spiritualist - No.21, May 15th 1871 - P.20"
135908637.txt,"Spiritualist - No.22, June 15th 1871 - P.20"
135908638.txt,"Spiritualist - No.23, July 15th 1871 - P.20"
135908639.txt,"Spiritualist - No.24, August 15th 1871 - P.20"
135908640.txt,"Spiritualist - No.25, September 15th 1871 - P.20"
135908641.txt,"Spiritualist - No.26, October 15th 1871 - P.20"
135908642.txt,"Spiritualist - No.27, November 15th 1871 - P.20"
135908643.txt,"Spiritualist - No.28, December 15th 1871 - P.20"
135908644.txt,"Spiritualist - No.29, January 15th 1872 - P.20"
135908645.txt,"Spiritualist - No.30, February 15th 1872 - P.20"
135908646.txt,"Spiritualist - No.31, March 15th 1872 - P.20"
135908647.txt,"Spiritualist - No.32, April 15th 1872 - P.20"
135908648.txt,"Spiritualist - No.33, May 15th 1872 - P.20"
135908649.txt,"Spiritualist - No.34, June 15th 1872 - P.20"
135908650.txt,"Spiritualist - No.35, July 15th 1872 - P.20"
135908651.txt,"Spiritualist - No.36, August 15th 1872 - P.20"
135908652.txt,"Spiritualist - No.37, September 15th 1872 - P.20"
135908653.txt,"Spiritualist - No.38, October 15th 1872 - P.20"
135908654.txt,"Spiritualist - No.39, November 1st 1872 - P.20"
135908656.txt,"Spiritualist - No.40, November 15 1872 - P.20"
135908657.txt,"Spiritualist - No.41, December 1st 1872 - P.20"
135908658.txt,"Spiritualist - No.42, December 15th 1872 - P.20"
135908659.txt,"Spiritualist - No.43, January 1st 1873 - P.20"
135908660.txt,"Spiritualist - No.44, January 15th 1873 - P.20"
135908661.txt,"Spiritualist - No.45, February 1st 1873 - P.20"
135908662.txt,"Spiritualist - No.46, February 15th 1873 - P.20"
135908663.txt,"Spiritualist - No.47, March 1st 1873 - P.20"
135908664.txt,"Spiritualist - No.48, March 15th 1873 - P.20"
135908665.txt,"Spiritualist - No.49, April 1st 1873 - P.20"
135908666.txt,"Spiritualist - No.50, April 15th 1873 - P.20"
135908667.txt,"Spiritualist - No.51, May 1st 1873 - P.20"
135908668.txt,"Spiritualist - No.52, May 15th 1873 - P.20"
135908669.txt,"Spiritualist - No.53, June 1st 1873 - P.20"
135908670.txt,"Spiritualist - No.54, June 15th 1873 - P.20"
135908671.txt,"Spiritualist - No.55, July 1st 1873 - P.20"
135908672.txt,"Spiritualist - No.56, July 15th 1873 - P.20"
135908673.txt,"Spiritualist - No.57, August 1st 1873 - P.20"
135908674.txt,"Spiritualist - No.58, August 15th 1873 - P.20"
135908675.txt,"Spiritualist - No.59, September 1st 1873 - P.20"
135908676.txt,"Spiritualist - No.60, September 15th 1873 - P.20"
135908677.txt,"Spiritualist - No.61, October 1st 1873 - P.20"
135908678.txt,"Spiritualist - No.62, October 15th 1873 - P.20"
135908679.txt,"Spiritualist - No.63, November 1st 1873 - P.20"
135908680.txt,"Spiritualist - No.64, November 14th 1873 - P.20"
135908681.txt,"Spiritualist - No.65, November 21st 1873 - P.20"
135908682.txt,"Spiritualist - No.66, November 28th 1873 - P.20"
